Cycle, ARC, Entity Type, Entity Uid, Project Code, State, State Age (days), Days over limit, Protrack Link, SB Name(s)
2012.1, EA, SB, uid://A002/X684eb5/X6, 2012.1.00271.S, Suspended, 297, 237, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X684eb5/X6, NGC604_12m_b7
2012.1, EA, SB, uid://A002/X684eb5/X7, 2012.1.00271.S, Suspended, 297, 237, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X684eb5/X7, NGC604_7m_b7
2012.1, EA, SB, uid://A002/X684eb5/X8, 2012.1.00271.S, Suspended, 297, 237, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X684eb5/X8, TP_Amp-Cal_b7
2012.1, EA, SB, uid://A002/X684eb5/X9, 2012.1.00271.S, Suspended, 297, 237, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X684eb5/X9, NGC604_TP_b7
2012.1, EA, SB, uid://A002/X6f9b0f/X241, 2012.1.01092.S, Suspended, 298, 238, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X6f9b0f/X241, 3C31_7m_b7
2012.1, EA, SB, uid://A002/X6f9b0f/X23e, 2012.1.01092.S, Suspended, 298, 238, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X6f9b0f/X23e, TP_Amp-Cal_b6
2012.1, EA, SB, uid://A002/X6f9b0f/X23f, 2012.1.01092.S, Suspended, 298, 238, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X6f9b0f/X23f, 3C31_TP_b6
2012.1, EA, SB, uid://A002/X6f9b0f/X23c, 2012.1.01092.S, Suspended, 298, 238, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X6f9b0f/X23c, 3C31_12m_b6
2012.1, EA, SB, uid://A002/X6f9b0f/X243, 2012.1.01092.S, Suspended, 298, 238, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X6f9b0f/X243, 3C31_TP_b7
2012.1, EA, SB, uid://A002/X6f9b0f/X240, 2012.1.01092.S, Suspended, 298, 238, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X6f9b0f/X240, 3C31_12m_b7
2012.1, EA, SB, uid://A002/X6f9b0f/X242, 2012.1.01092.S, Suspended, 298, 238, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X6f9b0f/X242, TP_Amp-Cal_b7
2012.1, EA, SB, uid://A002/X758152/X41, 2012.1.00759.S, Suspended, 298, 238, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X758152/X41, query_AmpCal_TP_B3
2012.1, EA, SB, uid://A002/X758152/X43, 2012.1.00759.S, Suspended, 298, 238, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X758152/X43, VV219_12m_B7
2012.1, EA, SB, uid://A002/X758152/X47, 2012.1.00759.S, Suspended, 298, 238, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X758152/X47, VV219_D1_12m
2012.1, EA, SB, uid://A002/X758152/X4b, 2012.1.00759.S, Suspended, 298, 238, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X758152/X4b, VV219_D2_12m
2012.1, EA, SB, uid://A002/X758152/X42, 2012.1.00759.S, Suspended, 308, 248, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X758152/X42, VV219_Science_TP_B3
2012.1, EA, SB, uid://A002/X758152/X46, 2012.1.00759.S, Suspended, 308, 248, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X758152/X46, VV219_Science_TP_B7
2012.1, EA, SB, uid://A002/X758152/X45, 2012.1.00759.S, Suspended, 308, 248, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X758152/X45, query_AmpCal_TP_B7
